source,target,word_family
Aline_E,Adeline_F,Aline
asyndeton_E,asyndeton_L,asyndeton
asyndeton_L,asyndetos_G,asyndeton
advise_E,avisen_E,advise
avisen_E,aviser_OF,advise
aviser_OF,avis_OF,advise
avis_OF,ço m’est à vis_OF,advise
auricle_E,auricula_L,auricle
auricula_L,auris_L,auricle
asexually_E,asexual_E,asexually
applause_E,applausus_L,applause
applausus_L,applaudere_L,applause
acetylene_E,acétylène_F,acetylene
acétylène_F,-ene_F,acetylene
acetyl_F,acetic_F,acetylene
avertence_E,avertence_OF/avertance_OF,avertence
avertence_OF/avertance_OF,advertentia_LateL,avertence
advertentia_LateL,advertere_L,avertence
anacrusis_E,anakrousis_G,anacrusis
anakrousis_G,anakrouein_G,anacrusis
anakrouein_G,ana_G,anacrusis
krouein_G,*kreue- (2)_PIE,anacrusis
arbiter_E,arbitre_OF,arbiter
arbiter_OF,arbiter_L,arbiter
arbiter_L,ad_L,arbiter
alkanet_E,alcanna_MediL,alkanet
alcanna_MediL,al-hinna_A,alkanet
Argentina_E,argentinus_L,Argentina
argentinus_L,*arg-_PIE,Argentina
alarmed_E,alarm (v.)_E,alarmed
anglophone_E,Anglo-_E,anglophone
autarchy_E,autarkhia_G,autarchy
autarkhia_G,autarkhein_G,autarchy
autarkhein_G,autos_G,autarchy
Augustine_E,Augustinus_L,Augustine
Augustinus_L,augustus_L,Augustine
ascetic (adj.)_E,asketikos_G,ascetic (adj.)
asketikos_G,asketes_G,ascetic (adj.)
asketes_G,askein_G,ascetic (adj.)
ascetic (n.)_E,ascetic (adj.)_E,ascetic (n.)
anaesthesiologist_E,anesthesiologist_E,anaesthesiologist
adamant (adj.)_E,adamant (n.)_E,adamant (adj.)
adamant (n.)_E,aamans_OE,adamant (n.)
aamans_OE,adamant_OF/adamantem_L,adamant (n.)
adamant_OF/adamantem_L,adamas_G,adamant (n.)
aitch_E,H_E,aitch
aghast_E,agast_E,aghast
agast_E,agasten_E,aghast
gstan_OE,gst_OE,aghast
aldehyde_E,alcohol_E,aldehyde
alectryomachy_E,alektryon_G,alectryomachy
ani_E,ani_Span/ani_Por,ani
ani_Span/ani_Por,Tupi_Tup,ani
anywhere_E,any_E,anywhere
agnostic_E,agnostos_G,agnostic
gnostos_G,*gno-_PIE,agnostic
Anna_E,Anna_L,Anna
Anna_L,Anna_G,Anna
Anna_G,Hannah_H,Anna
attainable_E,attain_E,attainable
aquarium_E,aquarius_L,aquarium
aquarius_L,aqua_L,aquarium
aqua_L,*akwa-_PIE,aquarium
apologize_E,apology_E,apologize
alcoholism_E,alcohol_E,alcoholism
androcentrism_E,androcentric_E,androcentrism
anomo-_E,anomos_G,anomo-
nomos_G,*nem-_PIE,anomo-
abdicate_E,abdicatus_L,abdicate
abdicatus_L,abdicare_L,abdicate
abdicare_L,ab_L,abdicate
dicare_L,*deik-_PIE,abdicate
aggression_E,aggression_F,aggression
agression_F,aggressionem_L,aggression
aggressionem_L,aggredi_L,aggression
aggredi_L,ad_L,aggression
gradi_L,grad,aggression
amine_E,ammonia_E,amine
anole_E,anoli_E,anole
acclivity_E,acclivitatem_L,acclivity
acclivitatem_L,acclivis_L,acclivity
acclivis_L,ad_L,acclivity
clivus_L,*klei-wo-_PIE,acclivity
astonishment_E,astonish_E,astonishment
atria_E,atrium_E,atria
abstinent_E,abstinent_OF,abstinent
abstinent_OF,abstinentem_L,abstinent
abstinentem_L,abstinere_L/absstenere_L,abstinent
acculturate_E,acculturation_E,acculturate
advertiser_E,advertise (v.)_E,advertiser
accredit_E,accréditer_F,accredit
accréditer_F,acrediter_F,accredit
acrediter_F,à_F,accredit
créditer_F,crédit_F,accredit
a- (1)_E,an_OE,a- (1)
a- (2)_E,a_L,a- (2)
a_L,ab_L,a- (2)
a- (3)_E,a-_G/an-_G,a- (3)
a-_G/an-_G,*ne-_PIE,a- (3)
abrupt_E,abruptus_L,abrupt
abruptus_L,abrumpere_L,abrupt
abrumpere_L,ab_L,abrupt
rumpere_L,*runp-_PIE,abrupt
annoyed_E,annoy (v.)_E,annoyed
autochthonic_E,autochthon_E,autochthonic
anaemic_E,anaemia_E,anaemic
ascertain_E,acerteiner_AF,ascertain
acerteiner_AF,acertener_OF,ascertain
acertener_OF,a-_F,ascertain
anatomically_E,anatomical_E,anatomically
archery_E,archerye_AF,archery
archerye_AF,archerie_OF,archery
archerie_OF,archier_OF,archery
agin_E,again_E/against_E,agin
acidulous_E,acidulus_L,acidulous
acidulus_L,acidus_L,acidulous
arrogant_E,arrogant_OF,arrogant
arrogant_OF,arrogantem_L,arrogant
arrogantem_L,arrogare_L,arrogant
arrogare_L,ad_L,arrogant
trophikos_G,trophe_G,amyotrophic lateral sclerosis
availability_E,available_E,availability
aggravated_E,aggravate_E,aggravated
anormal_E,abnormalis_L,anormal
abnormalis_L,ab_L,anormal
norma_L,anomalos_G,anormal
accident_E,accident_OF,accident
accident_OF,accidentem_L,accident
accidentem_L,accidere_L,accident
accidere_L,ad_L,accident
cadere_L,*kad-_PIE,accident
adulate_E,adulation_E,adulate
anonymity_E,anonym_E,anonymity
almah_E,almah_A,almah
almah_A,alama_A,almah
apologetics_E,apologetic_E,apologetics
astatine_E,astatos_G,astatine
acicular_E,acicula_L,acicular
acicula_L,acus_L,acicular
acus_L,*ak-_PIE,acicular
army_E,armée_OF,army
armée_OF,armata_MediL,army
armata_MediL,armata_L,army
armata_L,armatus_L,army
armatus_L,armare_L,army
anti-node_E,anti-_E,anti-node
acold_E,a- (1)_E,acold
amable_E,amable_OF,amable
amable_OF,amabilem_L,amable
amabilem_L,amare_L,amable
argosy_E,(nave) Ragusea_I,argosy
Andorra_E,andurrial_IndoIr,Andorra
antioxidant_E,anti-_E,antioxidant
amigo_E,amigo_Span,amigo
amigo_Span,amicus_L,amigo
amicus_L,amare_L,amigo
Amphictyonic_E,amphiktionikos_G,Amphictyonic
amphiktionikos_G,amphiktiones_G,Amphictyonic
amphiktiones_G,amphi_G,Amphictyonic
ktizein_G,*,Amphictyonic
allegation_E,alegacion_OF,allegation
allegacion_OF,allegationem_L,allegation
allegationem_L,allegare_L,allegation
ataxia_E,ataxia_L,ataxia
ataxia_L,ataxia_G,ataxia
taxis_G,tassein_G,ataxia
absorbency_E,absorbent_E,absorbency
atechnical_E,a- (3)_E,atechnical
ailment_E,ail_E,ailment
astray_E,o strai_E,astray
o strai_E,estraie_OF,astray
estraie_OF,estraier_OF,astray
automobile (adj.)_E,automobile (adj.)_F,automobile (adj.)
automobile (adj.)_F,autos_G,automobile (adj.)
mobile_F,mobilis_L,automobile (adj.)
automobile (n.)_E,automobile_F,automobile (n.)
automobile_F,véhicule automobile_F,automobile (n.)
allay_E,alegen_E,allay
alegen_E,alecgan_OE,allay
lecgan_OE,ad_L,allay
levis_L,*legw,allay
anthropo-_E,anthrop-_E,anthropo-
anthrop-_E,anthropos_G,anthropo-
anthropos_G,andra_G,anthropo-
andra_G,aner_G,anthropo-
aner_G,*ner- (2)_PIE,anthropo-
armature_E,armatura_L,armature
armatura_L,armatus_L,armature
armatus_L,armare_L,armature
armare_L,arma_L,armature
alphabetize_E,alphabet_E,alphabetize
acquiescent_E,acquiescentem_L,acquiescent
acquiescentem_L,acquiescere_L,acquiescent
augment_E,augmenter_OF,augment
augmenter_OF,augmentare_LateL,augment
augmentare_LateL,augmentum_L,augment
augmentum_L,augere_L,augment
augere_L,*aug- (1)_PIE,augment
a la_E,à la_F,a la
à la_F,à_F,a la
à_F,ad_L,a la
la_F,ille_L,a la
avoidable_E,avoid_E,avoidable
agreeable_E,agreable_OF,agreeable
agreable_OF,agreer_OF,agreeable
authorship_E,author (n.)_E,authorship
Ashkenazim_E,Ashkenazzim_H,Ashkenazim
Ashkenazzim_H,Ashkenaz_H,Ashkenazim
albino_E,albino_Span/albus_L,albino
aphid_E,aphides_ModL,aphid
aphides_ModL,aphis_ModL,aphid
air force_E,air (n.1)_E,air force
anthropomorphize_E,anthropomorphous_E,anthropomorphize
allogenic_E,allogenes_G,allogenic
allogenes_G,allos_G,allogenic
animator_E,animator_L,animator
animator_L,animare_L,animator
appeasement_E,apeisement_F,appeasement
apeisement_F,apaisement_OF,appeasement
apaisement_OF,apaisier_OF,appeasement
all_E,eall_OE,all
eall_OE,*alnaz_PGer,all
appendicular_E,appendicula_L,appendicular
appendicula_L,appendix_L,appendicular
abrogate_E,abrogatus_L,abrogate
abrogatus_L,abrogare_L,abrogate
abrogare_L,ab_L,abrogate
rogare_L,*reg-_PIE,abrogate
array (v.)_E,areyer_OF,array (v.)
areyer_OF,areer_OF,array (v.)
areer_OF,*ar-redare_VL,array (v.)
*ar-redare_VL,ad_L,array (v.)
array (n.)_E,arrai_AF,array (n.)
arrai_AF,aroi_OF/arroi_OF,array (n.)
aroi_OF/arroi_OF,areer_OF,array (n.)
andouille_E,andoille_F,andouille
andoille_F,inductilia_L,andouille
inductilia_L,inductilis_L,andouille
inductilis_L,inducere_L,andouille
accessible_E,accessible_F,accessible
accessible_F,accessibilis_LateL,accessible
accessibilis_LateL,accessus_L,accessible
accessus_L,accedere_L,accessible
agential_E,agentia_MediL,agential
accouchement_E,accouchement_F,accouchement
accouchement_F,accoucher_F,accouchement
alignment_E,alignement_F,alignment
alignement_F,aligner_F,alignment
acetic_E,acétique_F,acetic
acétique_F,acetum_L,acetic
acetum_L,acere_L,acetic
acere_L,*ak-eto-_PIE,acetic
abrade_E,abradere_L,abrade
abradere_L,ab_L,abrade
radere_L,*red-_PIE,abrade
astroid_E,astroeides_G,astroid
astroeides_G,astron_G,astroid
astron_G,*ster- (2)_PIE,astroid
anorexic_E,anorexia_E,anorexic
archetypal_E,archetype_E,archetypal
analyst_E,analyste_F,analyst
analyse_F,analysis_MediL,analyst
agave_E,Agave_L,agave
Agave_L,Agaue_G,agave
Agaue_G,agauos_G,agave
agauos_G,agasthai_G,agave
appendage_E,append_E,appendage
affecting_E,affect (v.1)_E,affecting
august (adj.)_E,augustus_L,august (adj.)
August_E,Augustus (mensis)_L,August
Augustus (mensis)_L,Sextilis_L,August
aphasic_E,aphasia_E,aphasic
ancestor_E,ancestre_E/antecessour_E,ancestor
ancestre_E/antecessour_E,ancestre_OF/ancessor_OF,ancestor
ancestre_OF/ancessor_OF,antecessor_LateL,ancestor
arc (n.)_E,arc_OF,arc (n.)
arc_OF,arcus_L,arc (n.)
arcus_L,*arkwo-_PGer,arc (n.)
arc (v.)_E,arc (n.)_E,arc (v.)
amplitude_E,amplitude_F/amplitudinem_L,amplitude
amplitudinem_L,amplus_L,amplitude
availing_E,avail (v.)_E,availing
arrant_E,errant_E,arrant
arsonist_E,arson_E,arsonist
almanac_E,almanach_OF/almanachus_MediL,almanac
Archimedean_E,Archimedes_E,Archimedean
Archimedes_E,Arkhimedes_G,Archimedean
annalist_E,annals_E,annalist
almoner_E,almosnier_OF,almoner
almosnier_OF,*almosinarius_VL,almoner
*almosinarius_VL,elemosinarius_LateL,almoner
airtight_E,air (n.1)_E,airtight
archaeology_E,archaeo-_E,archaeology
asphalt_E,asphaltum_LateL,asphalt
asphaltum_LateL,asphaltos_G,asphalt
asphaltos_G,a-_G,asphalt
*sphaltos_G,sphallein_G,asphalt
anamorphosis_E,anamorphosis_G,anamorphosis
anamorphosis_G,anamorphoein_G,anamorphosis
anamorphoein_G,ana_G,anamorphosis
morphosis_G,morphe,anamorphosis
arrack_E,arak_Hin/arak_Tam,arrack
arak_Hin/arak_Tam,araq_A,arrack
Anglice_E,Anglice_MediL,Anglice
Anglice_MediL,Anglicus_L,Anglice
antagonism_E,antagonisme_F/antagonisma_G,antagonism
antagonisme_F/antagonisma_G,antagonizesthai_G,antagonism
antagonizesthai_G,anti_G,antagonism
adumbrate_E,adumbratus_L,adumbrate
adumbratus_L,adumbrare_L,adumbrate
adumbrare_L,ad_L,adumbrate
umbrare_L,*andho-_PIE,adumbrate
axle-tree_E,axle (n.)_E,axle-tree
ampere_E,ampère_F,ampere
academy_E,Academe_L,academy
active_E,actif_OF,active
actif_OF,activus_L,active
activus_L,actus_L,active
actus_L,*ag-_PIE,active
authoritarianism_E,authoritarian_E,authoritarianism
ambulance_E,ambulance_F,ambulance
ambulance_F,(hôpital) ambulant_F,ambulance
(ambulant_F)_E,ambulantem_L,ambulance
ambulantem_L,ambulare_L,ambulance
Allen_E,Alan_E,Allen
accreditation_E,accredit_E,accreditation
avast_E,hold (v.)_E,avast
Aberdeen_E,aber_Gae,Aberdeen
aber_Gae,*ad-ber-o-_Cel,Aberdeen
*ad-ber-o-_Cel,*ad-_Cel,Aberdeen
abandoned_E,abandon (v.)_E,abandoned
am_E,be_OE,am
be_OE,eom_OE,am
eom_OE,*izm(i)-_PGer,am
*izm(i)-_PGer,*esmi-_PIE,am
abstemious_E,abstemius_L,abstemious
abstemius_L,ab_L,abstemious
antacid_E,anti-_E,antacid
auld_E,old_E,auld
adjustable_E,adjust_E,adjustable
Archibald_E,Erchanbald_OHGer,Archibald
Erchanbald_OHGer,erchan_OHGer,Archibald
aggrandizement_E,agrandissement_F,aggrandizement
agrandissement_F,agrandir_F,aggrandizement
apparatchik_E,apparat_Rus,apparatchik
accidental (adj.)_E,accidentel_OF,accidental (adj.)
accidentel_OF,accidentalis_MediL,accidental (adj.)
accidentalis_MediL,accidentem_L,accidental (adj.)
accidental (n.)_E,accidental (adj.)_E,accidental (n.)
acajou_E,acajou_F,acajou
acajou_F,acaj_Por,acajou
acaj_Por,acajuba_Tup,acajou
Amritsar_E,amrta_San,Amritsar
amrta_San,a-_San,Amritsar
a-_San,*ne-_PIE,Amritsar
ambivalent_E,ambivalence_E,ambivalent
ascend_E,ascendere_L,ascend
ascendere_L,ad_L,ascend
anima_E,animus_L,anima
Asmodeus_E,Asmodaeus_L,Asmodeus
Asmodaeus_L,Asmodaios_G,Asmodeus
Asmodaios_G,Ashmeday_H,Asmodeus
Ashmeday_H,Aeshma-dva_A,Asmodeus
anonymous_E,anonymus_LateL,anonymous
anonymus_LateL,anonymos_G,anonymous
onyma_G,onoma_G,anonymous
acquiesce_E,acquiescer_F,acquiesce
acquiescer_F,acquiescere_L/adquiescere_L,acquiesce
acquiescere_L/adquiescere_L,ad_L,acquiesce
anchylosis_E,ankylos_G,anchylosis
aerophyl foil_E,aero-_E,aerophyl foil
acidulate_E,acidulus_L,acidulate
align_E,alignier_OF,align
alignier_OF,à_F,align
lignier_F,lineare_L,align
lineare_L,linea_L,align
authorise_E,authorize_E,authorise
appendicitis_E,appendix_L,appendicitis
air-rifle_E,air (n.1)_E,air-rifle
appeaser_E,appease (v.)_E,appeaser
allopath_E,allopathy_E/allopath_Ger,allopath
ablative_E,ablatif_OF,ablative
ablatif_OF,(casus) ablativus_L,ablative
(casus) ablativus_L,ablatus_L,ablative
ablatus_L,auferre_L,ablative
a (2)_E,an_OE,a (2)
A_E,alpha_G,A
all-purpose_E,all_E,all-purpose
altruistic_E,altruist_E,altruistic
alter ego_E,alter_E,alter ego
adage_E,adage_F,adage
adage_F,adagium_L,adage
adagium_L,adagio_L,adage
adagio_L,ad_L,adage
aposiopesis_E,aposiopesis_L,aposiopesis
aposiopesis_L,aposiopesis_G,aposiopesis
aposiopesis_G,aposiopan_G,aposiopesis
aposiopan_G,apo_G,aposiopesis
Anglomania_E,Anglo-_E,Anglomania
asperges_E,asperges_LateL,asperges
asperges_LateL,aspergere_L,asperges
aspergere_L,ad_L,asperges
awkward_E,awk_E,awkward
atheist_E,athéiste_F,atheist
atheiste_F,atheos_G,atheist
theos_G,*dhes-_PIE,atheist
assumpsit_E,assumere_L,assumpsit
anarchy_E,anarchie_F,anarchy
anarchie_F,anarchia_MediL,anarchy
anarchia_MediL,anarkhia_G,anarchy
anarkhia_G,anarkhos_G,anarchy
apogee_E,apogée_F/apogaeum_L,apogee
apogée_F/apogaeum_L,apogaion (diastema)_G,apogee
apportion_E,apportionner_F,apportion
apportionner_F,aporcioner_OF,apportion
aporcioner_OF,a-_F,apportion
portioner_F,portion_F,apportion
actualise_E,actualize_E,actualise
aluone_E,abulon_Span,aluone
aluon_Span,aluan_Span,aluone
annal_E,annals_E,annal
axon_E,axon_G,axon
allopathy_E,Allopathie_Ger,allopathy
Allopathie_Ger,allos_G,allopathy
allos_G,*al-_PIE,allopathy
adhere_E,adhérer_F/aderer_F,adhere
adhérer_F/aderer_F,adhaerare_L,adhere
adhaerare_L,ad_L,adhere
adverb_E,adverbium_LateL,adverb
adverbium_LateL,ad_L,adverb
verbum_L,*were- (3)_PIE,adverb
air-shaft_E,air (n.1)_E,air-shaft
appoint_E,appointer_AF,appoint
appointer_AF,apointier_OF,appoint
apointier_OF,apointer_OF,appoint
apointer_OF,à point_F,appoint
à point_F,a-_F,appoint
attunement_E,attune_E,attunement
arctic_E,artik_E,arctic
artik_E,artique_OF,arctic
artique_OF,articus_MediL,arctic
articus_MediL,arcticus_L,arctic
arcticus_L,arktikos_G,arctic
absolutely_E,absolute (adj.)_E,absolutely
accrue_E,acreue_OF,accrue
acreue_OF,acreu_OF,accrue
acreu_OF,acreistre_OF,accrue
acreistre_OF,accrescere_L,accrue
anatomize_E,anatomizare_MediL,anatomize
anatomizare_MediL,anatomia_G,anatomize
ancestral_E,ancestrel_OF,ancestral
ancestrel_OF,ancestre_OF,ancestral
acquainted_E,acquaint (v.)_E,acquainted
alumna_E,alumnus_E,alumna
acute_E,acutus_L,acute
acutus_L,acuere_L,acute
acuere_L,*ak-_PIE,acute
attachable_E,attach_E,attachable
Aphrodite_E,aphros_G,Aphrodite
aphros_G,Ashtaroth_Pho,Aphrodite
Aspasia_E,aspasios_G,Aspasia
aspasios_G,aspazesthai_G,Aspasia
anapestic_E,anapaesticus_L,anapestic
anapaesticus_L,anapaistikos_G,anapestic
anapaistikos_G,anapaistos_G,anapestic
auspex_E,auspex_L,auspex
auspex_L,*awi-spek-_PIE,auspex
*awi-spek-_PIE,*awi-_PIE,auspex
allure (v.)_E,alurer_AF,allure (v.)
alurer_AF,aleurer_OF,allure (v.)
aleurer_OF,à_F,allure (v.)
loirre_F,allure_F,allure (v.)
allure (n.)_E,allure (v.)_E,allure (n.)
arising_E,arise (v.)_E,arising
analects_E,analecta_L,analects
analecta_L,analekta_G,analects
analekta_G,analektos_G,analects
analektos_G,analegein_G,analects
assistance_E,assistance_OF,assistance
assistance_OF,assistentia_MediL,assistance
accelerate_E,acceleratus_L,accelerate
acceleratus_L,accelerare_L,accelerate
accelerare_L,ad_L,accelerate
celerare_L,celer_L,accelerate
celer_L,*keli-_PIE,accelerate
antimnemonic_E,anti-_E,antimnemonic
Augean_E,Augean stable_E,Augean
Augean stable_E,Augeias_G,Augean
Augeias_G,Augeas_G,Augean
antenatal_E,ante-_E,antenatal
aficionado_E,aficionado_Span,aficionado
aficionado_Span,afición_Span,aficionado
afición_Span,affectionem_L,aficionado
affectionem_L,afficere_L,aficionado
activist_E,active_E,activist
a la mode_E,a la_E,a la mode
assumable_E,assume_E,assumable
apert_E,apert_OF,apert
apert_OF,apertus_L,apert
apertus_L,aperire_L,apert
appeal (v.)_E,apeler_AF,appeal (v.)
apeler_AF,apeler_OF,appeal (v.)
apeler_OF,appellare_L,appeal (v.)
appellare_L,appellere_L,appeal (v.)
appellere_L,ad_L,appeal (v.)
