sorted,word,full text,candidates
"(Adam_E, Adam_H)",Adam,"masc. proper name, Biblical name of the first man, progenitor of the human race, from Hebrew adam ""man,"" literally ""(the one formed from the) ground"" (Hebrew adamah ""ground""); compare Latin homo ""man,"" humanus ""human,"" humus ""earth, ground, soil.""

The name was also used to signify the evil inherent in human nature (as a consequence of Adam's fall), and other qualities (nakedness, gardening) associated with the biblical Adam. Adam's ale ""water"" is from 1640s. To not know (someone) from Adam ""not know him at all"" is first recorded 1784. The pet form of the name in Middle English was Addy, hence Addison; other old pet forms (Adkin, Adcock) also survive in surnames.","adam,adamah,homo,humanus,humus,Adam's ale,not know (someone) from Adam,Addy,Addison,Adkin,Adcock"
"(Ahura Mazda_E, ahura-_Avest, mazda-_Avest);(ahura-_Avest, *asuras_IndoIr);(*asuras_IndoIr, *ansu-_PIE);(mazda-_Avest, *mens-dhe-_PIE);(*mens-dhe-_PIE, *men- (1)_PIEIEPIE, *dhe-_GPIE)",Ahura Mazda,"from Avestan ahura- ""spirit, lord,"" from Indo-Iranian *asuras, from suffixed form of PIE root *ansu- ""spirit"" (see Aesir) + Avestan mazda- ""wise,"" from PIE *mens-dhe- ""to set the mind"" (from root *men- (1) ""to think"" + root *dhe- ""to set, put"").","ahura-,*asuras,*ansu-,Aesir,mazda-,*mens-dhe-,*men-,*dhe-"
"(ashram_E, asramah_San);(asramah_San, a-_San, sramah_San);(a-_San, ē_PIE)",ashram,"""religious hermitage,"" 1900, from Sanskrit asramah, from a-, adnomial prefix (from PIE adverbial particle ē), + sramah ""effort, toll, fatigue.""","asramah,a-,ē,sramah"
"(anemo-_E, anemos_G);(anemos_G, *ane-_PIE)",anemo-,"before vowels anem-, word-forming element meaning ""wind,"" from Greek anemos ""wind,"" from PIE root *ane- ""to breathe.""","anem-,anemos,*ane-"
"(antimetabole_E, antimetabole_G);(antimetabole_G, anti_G, metabole_G)",antimetabole,"""rhetorical figure in which the same words are repeated in reverse order,"" 1590s, from Greek antimetabole, from anti ""opposite"" (see anti-) + metabole ""turning about"" (see metabolism).","antimetabole,anti,anti-,metabole,metabolism"
"(auspicious_E, auspicium_L, -ous_E);(auspicium_L, auspex_L)",auspicious,"1590s, ""of good omen"" (implied in auspiciously), from Latin auspicium ""divination by observing the flight of birds,"" from auspex (genitive auspicis) + -ous. Related: Auspiciousness.","auspiciously,auspicium,auspex,auspicis,-ous,Auspiciousness"
"(antagonistic_E, antagonist_E, -ic_E)",antagonistic,"""acting in opposition,"" 1630s, from antagonist + -ic. Related: Antagonistical (1620s); antagonistically.","antagonist,-ic,Antagonistical,antagonistically"
"(antecede_E, antecedere_L);(antecedere_L, ante_L, cedere_L);(ante_L, *ant-_PIE);(cedere_L, *ked-_PIE)",antecede,"""come before in time, place, or order,"" early 15c. (implied in anteceding), from Latin antecedere ""go before,"" from ante ""before"" (from PIE root *ant- ""front, forehead,"" with derivatives meaning ""in front of, before"") + cedere ""to yield"" (from PIE root *ked- ""to go, yield""). Related: Anteceded; anteceding.","anteceding,antecedere,ante,*ant-,cedere,*ked-,Anteceded,anteceding"
"(aunt_E, aunte_AngF);(aunte_AngF, ante_OF);(ante_OF, amita_L);(amita_L, *amma_L)",aunt,"c. 1300, from Anglo-French aunte, Old French ante (Modern French tante, from a 13c. variant), from Latin amita ""paternal aunt"" diminutive of *amma a baby-talk word for ""mother"" (source also of Greek amma ""mother,"" Old Norse amma ""grandmother,"" Middle Irish ammait ""old hag,"" Hebrew em, Arabic umm ""mother"").

Extended senses include ""an old woman, a gossip"" (1580s); ""a procuress"" (1670s); and ""any benevolent woman,"" in American English, where auntie was recorded since c. 1790 as ""a term often used in accosting elderly women."" The French word also has become the word for ""aunt"" in Dutch, German (Tante), and Danish.

Swedish has retained the original Germanic (and Indo-European) custom of distinguishing aunts by separate terms derived from ""father's sister"" (faster) and ""mother's sister"" (moster). The Old English equivalents were faðu and modrige. In Latin, too, the formal word for ""aunt on mother's side"" was matertera. Some languages have a separate term for aunts-in-law as opposed to blood relations.","aunte,ante,tante,amita,*amma,amma,amma,ammait,em,umm,auntie,Tante,faster,moster,faðu,modrige,matertera"
"(Akron_E, akron_G);(akron_G, akros_G);(akros_G, *ak-_PIEPIE)",Akron,"city in Ohio, founded 1825, from Greek akron ""extremity, highest point, mountain peak, headland,"" neuter of akros ""at the furthest point"" (from PIE root *ak- ""be sharp, rise (out) to a point, pierce""). So called for its position on high ground at the confluence of two rivers.","akron,akros,*ak-"
"(alp_E, Alps_E);(Alps_E, Alpes_F);(Alpes_F, Alpes_L)",alp,"""high, snow-capped mountain,"" especially in Switzerland, 1590s, from Alps, from French Alpes, from Latin Alpes ""the Alps,"" perhaps from altus ""high,"" or albus ""white"" or from a Celtic word (according to Servius the grammarian), or a borrowing from a non-Indo-European language. Alps, the central European mountain range, attested by that name in English from late 14c.","Alps,Alpes,Alpes,altus,albus,Alps"
"(autocade_E, auto_E, cavalcade_E)",autocade,"1922, from auto ""automobile"" + ending from cavalcade.","auto,cavalcade"
"(ablactation_E, ablactationem_L);(ablactationem_L, ablactare_L);(ablactare_L, ab_L, lactare_L);(lactare_L, lac_L);(lac_L, *g(a)lag-_PIE)",ablactation,"""weaning of a child,"" 1650s, from Latin ablactationem (nominative ablactatio) ""weaning,"" noun of action from past-participle stem of ablactare ""to wean,"" from ab ""off, away from"" (see ab-) + lactare ""to suckle,"" from lac (genitive lactis) ""milk"" (from PIE root *g(a)lag- ""milk"").","ablactationem,ablactatio,ablactare,ab,ab-,lactare,lac,lactis,*g(a)lag-"
"(anesthetist_E, anesthesia_E, -ist_E)",anesthetist,"""one who administers anesthetics,"" 1861, from stem of anesthesia + -ist.","anesthesia,-ist"
"(Angeleno_E, Angeleño_ASpan);(Angeleño_ASpan, (Los) Angeles_Span, -eño_Span)",Angeleno,"""resident or native of Los Angeles,"" 1888, from American Spanish Angeleño, from (Los) Angeles + -eño, suffix indicating a native or resident. See Los Angeles.","Angeleño,(Los) Angeles,-eño,Los Angeles"
"(absurd_E, absurde_MF);(absurde_MF, absurdus_L);(absurdus_L, ab-_L, surdus_L)",absurd,"""plainly illogical,"" 1550s, from Middle French absurde (16c.), from Latin absurdus ""out of tune, discordant;"" figuratively ""incongruous, foolish, silly, senseless,"" from ab- ""off, away from,"" here perhaps an intensive prefix, + surdus ""dull, deaf, mute,"" which is possibly from an imitative PIE root meaning ""to buzz, whisper"" (see susurration). Thus the basic sense is perhaps ""out of tune,"" but de Vaan writes, ""Since 'deaf' often has two semantic sides, viz. 'who cannot hear' and 'who is not heard,' ab-surdus can be explained as 'which is unheard of' ..."" The modern English sense is the Latin figurative one, perhaps ""out of harmony with reason or propriety."" Related: Absurdly; absurdness.","absurde,absurdus,ab-,surdus,susurration,ab-surdus,Absurdly,absurdness"
"(acescent_E, acescent_F);(acescent_F, acescentem_L);(acescentem_L, acescens_L);(acescens_L, acer_L);(acer_L, *ak-_PIEPIE)",acescent,"""becoming sour,"" 1731, from French acescent, from Latin acescentem (nominative acescens), present participle of acescere ""become sour,"" from acer ""sharp,"" from PIE root *ak- ""be sharp, rise (out) to a point, pierce.""","acescent,acescentem,acescens,acescere,acer,*ak-"
"(A.V._E, Authorized Version_E)",A.V.,"abbreviation of Authorized Version (of the English Bible, 1611) attested from 1868; see authorize.","Authorized Version,authorize"
"(alphabetization_E, alphabetize (v.)_href)",alphabetization,"1864, noun of action from alphabetize (v.).",alphabetize
"(aspen_E, æspe_OE);(æspe_E, *aspo_PGer);(*aspo_PGer, aspin-_LPGer);(aspin-_LPGer, *apsā-_PIE)",aspen,"European tree of the poplar family, late 14c., from adjectival or genitive form of Old English æspe ""aspen tree, white poplar,"" from Proto-Germanic *aspo, adjective aspin- (source also of Old Norse ösp, Middle Dutch espe, Old High German aspa, German Espe), from PIE *apsā- ""aspen"" (source also of Lithuanian epušė, Latvianapsa, Old Prussianabse, Russianosina), perhaps a northern European substratum word. The current form in English probably arose from phrases such as aspen leaf, aspen bark (see -en (2)). Its leaves have been figurative of tremulousness and quaking at least since early 15c. (an Old English name for it was cwicbeam, literally ""quick-tree"").","æspe,*aspo,aspin-,ösp,espe,aspa,Espe,*apsā-,epušė,apsa,abse,osina,aspen leaf,aspen bark,-en,cwicbeam"
"(autonomy_E, autonomia_G);(autonomia_G, autonomos_G);(autonomos_G, autos_G, nomos_G);(nomos_G, *nem-_GPIE)",autonomy,"""autonomous condition, power or right of self-government,"" 1620s, of states, from Greek autonomia ""independence,"" abstract noun from autonomos ""independent, living by one's own laws,"" from autos ""self"" (see auto-) + nomos ""custom, law"" (from PIE root *nem- ""assign, allot; take""). Of persons, from 1803. In Kantian metaphysics, ""doctrine of the Will giving itself its own law, based on conscience.""","autonomia,autonomos,autos,auto-,nomos,*nem-"
"(answer (n.)_E, andswaru_OE);(andswaru_OE, and-_OE, -swaru_OE);(and-_OE, *ant-_PIE);(-swaru_OE, swerian_OE)",answer (n.),"Old English andswaru ""a response, a reply to a question,"" from and- ""against"" (from PIE root *ant- ""front, forehead,"" with derivatives meaning ""in front of, before"") + -swaru ""affirmation,"" from swerian ""to swear"" (see swear), suggesting an original sense of ""sworn statement rebutting a charge."" Meaning ""solution of a problem"" is from c. 1300.
It is remarkable that the Latin expression for answer is formed in exactly the same way from a verb spondere, signifying to engage for, to assure. [Wedgwood]A common Germanic compound (cognates: Old Saxon antswor, Old Norse andsvar, Old Frisian ondser, Danish and Swedish ansvar), implying a Proto-Germanic *andswara-. The simpler idea of ""a word in reply"" is expressed in Gothic anda-vaurd, German Antwort.","andswaru,and-,*ant-,-swaru,swerian,swear,spondere,antswor,andsvar,ondser,ansvar,*andswara-,anda-vaurd,Antwort"
"(answer (v.)_E, answarian_OE);(answarian_OE, and-_OE, swerian_OE);(and-_OE, *ant-_PIE)",answer (v.),"Old English answarian ""make a statement in reply,"" from and- ""against"" (from PIE root *ant- ""front, forehead,"" with derivatives meaning ""in front of, before"") + swerian ""to swear"" (see swear), suggesting an original sense of ""make a sworn statement rebutting a charge.""

Meanings ""conform, correspond"" and ""be responsible for"" are from early 13c; that of ""suffer the consequences of"" is from late 13c.; that of ""respond in antiphony"" is from early 15c. Sense of ""respond in act or action, give back in kind"" is from 1570s; that of ""solve, find the result of"" is from 1742. Related: Answered; answering. The telephone answering machine so called from 1961.","answarian,and-,*ant-,swerian,swear,Answered,answering,answering machine"
"(all-American_E, all_E, American_E)",all-American,"1888, plural, as the name of a barnstorming baseball team composed of players from various teams across the United States. From all + American.","all,American"
"(anorak_E, anoraq_GE)",anorak,"Eskimo's waterproof, hooded jacket, 1924, from Greenland Eskimo anoraq. Applied to Western imitations of this garment from 1930s. In British slang, ""socially inept person"" (Partridge associates it with a fondness for left-wing politics and pirate radio), by 1983, on the notion that that sort of person typically wears this sort of coat.",anoraq
"(Afric_E, Africus_L)",Afric,"""African,"" 1580s, from Latin Africus (see Africa). Also sometimes used as a noun.","Africus,Africa"
"(anthropophobia, anthropo-_E, -phobia_E)",anthropophobia,"""fear of man,"" 1841 (from 1798 in German); see anthropo- + -phobia.","anthropo-,-phobia"
"(agon_E, agon_G)",agon,"1650s, in reference to ancient Greece, ""contest for a prize,"" from Greek agon ""struggle, trial,"" especially in the public games (see agony) but also of contests for prizes in poetry, theater, music. Meaning ""verbal dispute between characters in a Greek play"" is from 1887. Related: Agonal.All over Greece we find all endeavor taking the form of a contest, an agon. Before the age of Archilochos, Sappho, and Alkman, we hear of contests of trumpets, city against city, the splendor of which tantalizes the imagination more than all the kings and archons in the history books. [Guy Davenport, ""7 Greeks""]","agon,agony,Agonal,agon"
"(adjacent_E, adiacentem_L);(adiacentem_L, adiacere_LVLL);(adiacere_LVLL, ad_L iacēre_L);(iacēre_L, iacere_LL);(iacere_LL, *ye-_LPIE)",adjacent,"early 15c., ""contiguous, bordering; close, nearby,"" from Latin adiacentem (nominative adiacens) ""lying at,"" present participle of adiacere ""lie at, border upon, lie near,"" from ad ""to"" (see ad-) + iacēre ""to lie, rest,"" related to iacere ""to throw; lay ('cast (oneself) down'),"" from PIE root *ye- ""to throw, impel."" Only of things, never of persons or animals. Adjacent, properly, is near but not necessarily in contact; adjoining is so as to touch. Latin adiacentia meant ""the neighborhood.""","adiacentem,adiacens,adiacere,ad,ad-,iacēre,iacere,*ye-,Adjacent,adjoining,adiacentia"
"(allegretto_E, allegretto_I);(allegretto_I, allegro_I)",allegretto,"1740, from Italian allegretto, diminutive of allegro ""brisk, sprightly"" (q.v.), so, ""not so quick as allegro.""","allegretto,allegro"
(Asperger’s Syndrome_E),Asperger's Syndrome,"1981, named for the sake of Austrian pediatrician Hans Asperger (1906-1980), who described it in 1944 (and called it autistic psychopathy; German autistischen psychopathen). A standard diagnosis since 1992; recognition of Asperger's work was delayed, perhaps, because his school and much of his early research were destroyed by Allied bombing in 1944.The example of autism shows particularly well how even abnormal personalities can be capable of development and adjustment. Possibilities of social integration which one would never have dremt of may arise in the course of development. [Hans Asperger, ""Autistic psychopathy in Childhood,"" 1944]","Asperger,autistic psychopathy,autistischen psychopathen"
"(antiseptic_E, anti-_E, septic_E)",antiseptic,"also anti-septic, ""inimical to micro-organisms which cause disease, putrefaction, etc.,"" 1750, from anti- ""against"" + septic ""pertaining to putrefaction."" Figurative use by 1820. As a noun meaning ""an antiseptic substance"" by 1803.","anti-septic,anti-,septic"
"(Abigail_E, Abhigayil_H);(Abhigayil_H, abh_H, gil_H)",Abigail,"fem. proper name, from Hebrew Abhigayil, literally ""my father is rejoicing,"" from abh ""father"" + gil ""to rejoice."" In the Old Testament Abigail the Carmelitess was a wife of David. Used in general sense of ""lady's maid"" (1660s) from character of that name in Beaumont & Fletcher's ""The Scornful Lady."" Her traditional male counterpart was Andrew. The waiting maid association perhaps begins with I Samuel xxv, where David's wife often calls herself a ""handmaid.""","Abhigayil,abh,gil,Andrew"
"(Alhambra_E, (al kal'at) al hamra_Arab);((al kal'at) al hamra_Arab, ahmuru_Arab)",Alhambra,"palace of the Moorish kings in Granada, built 13c. and early 14c., a Spanish rendering of Arabic (al kal'at) al hamra ""the red (castle),"" from fem. of ahmuru ""red."" So called for the sun-dried bricks of which its outer walls were built. Related: Alhambresque.","(al kal'at) al hamra,ahmuru,Alhambresque"
"(aureole_E, aureola (corona)_L);(aureola (corona)_L, aureus_L)",aureole,"early 13c., ""celestial crown worn by martyrs, virgins, etc., as victors over the flesh,"" from Latin aureola (corona), fem. diminutive of aureus ""golden"" (see aureate). In religious art aureola (1848) is the luminous cloud or aura surrounding holy figures.","aureola (corona),aureus,aureate,aureola"
"(all-in_E, all_E, in (adv.)_E)_E)",all-in,"""without restrictions,"" 1890, from the adverbial phrase; see all + in (adv.).","all,in"
"(ague_E, ague_OF);(ague_OF, (febris) acuta_MediL);((febris) acuta_MediL, acutus_MediL);(acutus_MediL, *ak-_PIEPIE)",ague,"c. 1300, ""acute fever,"" also (late 14c.) ""malarial fever (involving episodes of chills and shivering)"" from Old French ague ""acute fever,"" from Medieval Latin (febris) acuta ""sharp (fever),"" from fem. of acutus ""sharp"" (from PIE root *ak- ""be sharp, rise (out) to a point, pierce"").","ague,(febris) acuta,acutus,*ak-"
"(adjustor_E, adjust (v.)_E)",adjustor,"1857, of certain muscles, agent noun in Latin form from adjust (v.).",adjust
"(antrum_E, antron_G)",antrum,"""a cave or cavity of the body,"" 1727, medical Latin, from Greek antron ""a cave,"" a word of uncertain etymology, perhaps from a pre-Greek substrate language. Related: Antral.","antron,Antral"
"(Amish_E, Amman_E)",Amish,"1844, American English, from the name of Jacob Amman, 17c. Swiss Mennonite preacher who founded the sect. The surname is a contraction of Old High German ambahtman, title of an official in the German Swiss cantons, from ambet ""office"" (German Amt; see amt), a Celtic borrowing related to the beginning of ambassador) + man ""man."" Originally also spelled Omish, which reflects the pronunciation in Pennsylvania German dialect. As a noun, by 1884. Other early names for the sect were Ammanite and, in a European context, Upland Mennonite.","Amman,ambahtman,ambet,Amt,amt,ambassador,man,Omish,Ammanite,Upland Mennonite"
"(all-nighter_E, all_E, night_E)",all-nighter,"1930, ""person who stays up all night,"" later ""incident of staying up all night,"" from the adverbial phrase; see all + night.","all,night"
"(alertly_E, alert_E, -ly (2)_E)",alertly,"1763, from alert (adj.) + -ly (2).","alert,-ly"
"(Arcadian_E, Arkadia_G)",Arcadian,"""ideally rustic or rural;"" as a noun, ""an idealized rustic,"" 1580s, from Greek Arkadia, a mountainous district landlocked in the Peloponnesus, regarded by the ancient Greeks as rude, impoverished, and inhospitable, but taken by 16c. European poets as an ideal region of rural felicity. See Arcadia.","Arkadia,Arcadia"
"(apotropaic_E, apotropaios_G, -ic_E);(apotropaios_G, apotrepein_G);(apotrepein_G, apo_G, trepein_G);(trepein_G, *trep-_GPIE)",apotropaic,"""having the power of averting evil influence,"" 1883, with -ic + Greek apotropaios ""averting evil,"" from apotrepein ""to turn away, avert,"" from apo ""off, away"" (see apo-) + trepein ""to turn"" (from PIE root *trep- ""to turn""). Related: Apotropaion ""amulet, etc., reputed to avert evil.""","-ic,apotropaios,apotrepein,apo,apo-,trepein,*trep-,Apotropaion"
"(admirer_E, admire (v.)_E)",admirer,"c. 1600, agent noun from admire (v.). From 1704 in colloquial sense ""one who pays court to (a woman), a lover."" The Latin agent noun was admirator.","admire,admirator"
(ABC_E),ABC,"also a-b-c, late 13c. (spelled abece) from the first three letters of it taken as a word (compare alphabet, abecedary, Old French abecé, abecedé ""alphabet,"" 13c.). Sense ""rudiments or fundamentals (of a subject)"" is from late 14c. As a shortening of American Broadcasting Company from 1944 (in a ""Billboard"" headline), earlier of Australian Broadcasting Corporation (1931). Related: ABCs.","a-b-c,abece,alphabet,abecedary,abecé,abecedé,American Broadcasting Company,Australian Broadcasting Corporation,ABCs"
"(attrite_E, attritus_L);(attritus_L, atterere_LL)",attrite,"""worn down, worn by rubbing or friction"" (obsolete), 1620s, from Latin attritus, past participle of atterere (see attrition). Related: Attriteness.","attritus,atterere,attrition,Attriteness"
"(admirable_E, admirable_MF);(admirable_MF, admirabilis_L);(admirabilis_L, admirari_L)",admirable,"mid-15c., ""worthy of admiration,"" from Middle French admirable (restored from Old French amirable), from Latin admirabilis ""admirable, wonderful,"" from admirari ""to admire"" (see admire). In early years it also carried a stronger sense of ""awe-inspiring, marvelous.""","admirable,amirable,admirabilis,admirari,admire"
"(arpeggio_E, arpeggio_I);(arpeggio_I, arpeggiare_I);(arpeggiare_I, arpa_I)",arpeggio,"1742, from Italian arpeggio, literally ""harping,"" from arpeggiare ""to play upon the harp,"" from arpa ""harp,"" which is of Germanic origin (see harp (n.)). Related: Arpeggiated (1875); arpeggiation.","arpeggio,arpeggiare,arpa,harp,Arpeggiated,arpeggiation"
"(awe (n.)_E, aue_E);(aue_E, aghe_E);(aghe_E, *agiz-_PGer);(*agiz-_PGer, *agh-es-_PIE);(*agh-es-_PIE, *agh- (1)_PIEPIE)",awe (n.),"c. 1300, aue, ""fear, terror, great reverence,"" earlier aghe, c. 1200, from a Scandinavian source, such as Old Norse agi ""fright;"" from Proto-Germanic *agiz- (source also of Old English ege ""fear,"" Old High German agiso ""fright, terror,"" Gothic agis ""fear, anguish""), from PIE *agh-es- (source also of Greek akhos ""pain, grief""), from root *agh- (1) ""to be depressed, be afraid"" (see ail). Current sense of ""dread mixed with admiration or veneration"" is due to biblical use with reference to the Supreme Being. To stand in awe (early 15c.) originally was simply to stand awe. Awe-inspiring is recorded from 1814.
Al engelond of him stod awe.[""The Lay of Havelok the Dane,"" c. 1300]","aue,aghe,agi,*agiz-,ege,agiso,agis,*agh-es-,akhos,*agh-,ail,stand in awe,stand awe,Awe-inspiring"
"(awe (v.)_E, awe (n.)_E)",awe (v.),"""inspire with fear or dread,"" c. 1300, from awe (n.); Old English had egan (v.). Related: Awed; awing.","awe,egan,Awed,awing"
"(allocation_E, allocacion_MF);(allocacion_MF, allocationem_MediL);(allocationem_MediL, allocare_L);(allocare_L, ad_L locare_L);(locare_L, locus_L)",allocation,"mid-15c., ""authorization,"" from Middle French allocacion, from Medieval Latin allocationem (nominative allocatio), noun of action from past-participle stem of allocare ""allocate, allot,"" from assimilated form of Latin ad ""to"" (see ad-) + locare ""to place,"" from locus ""a place"" (see locus).","allocacion,allocationem,allocatio,allocare,ad,ad-,locare,locus,locus"
"(appalling_E, appall_E)",appalling,"""causing dismay or horror,"" 1620s, present-participle adjective from appall. Colloquial weakened sense of ""distasteful"" is attested from 1919. Related: Appallingly.","appall,Appallingly"
"(aegis_E, aegis_L);(aegis_L, Aigis_G);(Aigis_G, aix_G);(aix_G, *aig-_PIE)",aegis,"""protection,"" 1793, a figurative use of Latin aegis, from Greek Aigis, the name of the shield of Zeus, a word said by Herodotus to be related to aix (genitive aigos) ""goat,"" from PIE *aig- ""goat"" (source also of Sanskrit ajah, Lithuanian ožys ""he-goat""), as the shield was of goatskin. Athene's aigis was a short goat-skin cloak, set with a gorgon's head and fringed with snakes. The exact use and purpose of it is not now clear.
The goatskin would be worn with the two forelegs tied in front of the wearer's breast, or possibly with the head passed through an opening made at the neck, by the removal of the animal's head. [F. Warre Cornish, ed., ""Dictionary of Greek and Roman Antiquities,"" London, 1898]","aegis,Aigis,aix,aigos,*aig-,ajah,ožys,aigis"
"(ancient (adj.)_E, auncyen_E);(auncyen_E, ancien_OF);(ancien_OF, *anteanus_LVL);(*anteanus_LL, ante_L);(ante_L, *anti_PIE);(*anti_PIE, *ant-_PIE)",ancient (adj.),"late 14c., auncyen, of persons, ""very old;"" c. 1400, of things, ""having lasted from a remote period,"" from Old French ancien ""old, long-standing, ancient,"" from Vulgar Latin *anteanus, literally ""from before,"" adjectivization of Latin ante ""before, in front of, against"" (from PIE *anti ""against,"" locative singular of root *ant- ""front, forehead""). The unetymological -t dates from 15c. by influence of words in -ent.

From early 15c. as ""existing or occurring in times long past."" Specifically, in history, ""belonging to the period before the fall of the Western Roman Empire"" (c. 1600, contrasted with medieval and modern). In English law, ""from before the Norman Conquest."" As a noun, ""very old person,"" late 14c.; ""one who lived in former ages,"" 1530s. Ancient of Days ""supreme being"" is from Daniel vii.9. Related: Anciently.","auncyen,ancien,*anteanus,ante,*anti,*ant-,-t,-ent,medieval,modern,Ancient of Days,Anciently"
